batch_size,avg_latency,p95_latency,p99_latency,cpu_usage,memory_usage,cv_latency,throughput,latency_delta,batch_delta,latency_derivative,cliff_flag,saturation_zone,sla_breach,p99_drift,p99_drift_flag
8,0.00751475,0.0101785,0.010459875,23.125,83.2,0.2310375,134.0421875,,,,0,0,0,,0
16,0.008478625,0.01212675,0.01324425,46.6625,82.825,0.24265,122.11677499999999,0.0009638750000000003,8.0,0.00012048437500000004,1,1,0,0.2661958197397196,1
32,0.007445625,0.010062,0.010493249999999999,56.9125,82.6125,0.2044,134.7180625,-0.001033,16.0,-6.45625e-05,0,1,0,-0.2077127810181778,0
48,0.0082065,0.010813125,0.011127125,22.5375,82.5625,0.20223750000000001,122.44454999999999,0.0007608750000000003,16.0,4.755468750000002e-05,0,1,0,0.060407881256998586,0
64,0.008708625,0.011747125,0.0123015,57.8125,82.4125,0.216475,115.310025,0.0005021249999999991,16.0,3.1382812499999944e-05,0,1,0,0.10554163811406814,0
96,0.008984625,0.011415875,0.011663,79.9,82.2375,0.1756375,111.7317,0.0002760000000000002,32.0,8.625000000000006e-06,0,1,0,-0.05190423932040811,0
128,0.010229625,0.013383125,0.013859874999999999,34.475,82.1625,0.1942875,98.0012,0.0012449999999999996,32.0,3.890624999999999e-05,0,1,0,0.18836277115664912,0
192,0.01171925,0.015452375,0.01633875,57.4875,82.15,0.21077500000000002,85.76717500000001,0.0014896250000000014,64.0,2.327539062500002e-05,0,1,0,0.17885262312971806,0
256,0.013148875,0.019102875000000002,0.021706625,69.0125,82.025,0.263475,76.92655,0.0014296250000000003,64.0,2.2337890625000005e-05,0,1,0,0.3285364547471503,1
320,0.013001875,0.01651125,0.017114375,23.637500000000003,82.05,0.1609875,77.0190625,-0.0001470000000000013,64.0,-2.2968750000000203e-06,0,1,0,-0.21155983484304908,0
384,0.015059875,0.01832325,0.018795375,57.75,82.0,0.1543,66.5028375,0.002058000000000001,64.0,3.215625000000001e-05,0,1,0,0.09822152430339992,0
448,0.016487125,0.0199995,0.020886375,91.4375,82.0375,0.13795000000000002,60.70665,0.001427249999999998,64.0,2.2300781249999968e-05,0,1,0,0.11125077312902776,0
512,0.0184495,0.021852375,0.02245825,45.75,81.9,0.12875,54.5328125,0.0019623750000000023,64.0,3.0662109375000036e-05,0,1,1,0.07525839213362784,0
