batch_size,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput,avg_cpu_pct,breach_rate_pct,avg_cost_usd,regime
8,7.1535,9.609375,9.775375,140.5492875,53.95,0.0,8e-06,Safe
16,7.198625,9.66325,10.069749999999999,139.3970625,53.7375,0.0,1.6e-05,Safe
32,7.953125,11.320375,11.8735,127.259225,54.8625,0.0,3.2e-05,Safe
48,9.146749999999999,12.587375,13.419125000000001,110.771825,56.3,0.0,4.8e-05,Safe
64,9.0155,12.769874999999999,13.71875,112.0383,59.7,0.0,6.4e-05,Safe
96,10.15975,15.500125,16.782125,99.14375,50.625,12.5,0.006346,Safe
128,11.870375,21.3615,25.190625,91.52267499999999,56.075,25.0,0.012628000000000002,Warning
192,18.496125,29.384875,31.21425,68.760125,65.0,50.0,0.025192,Danger
256,12.752,17.610750000000003,18.738,78.82455,48.05,25.0,0.012756,Danger
320,15.20575,27.168499999999998,33.532125,71.01235,49.25,37.5,0.01907,Danger
384,14.944374999999999,20.558625,22.096875,67.495875,54.1,37.5,0.019134,Danger
448,15.998625,20.097,21.423375,63.00205,54.875,25.0,0.012948000000000001,Danger
512,20.852875,28.608,30.500500000000002,50.194525,57.1625,100.0,0.050512,Danger
