timestamp,batch_size,avg_latency,p95_latency,p99_latency,throughput,cpu_usage,memory_usage,sla_breach
2026-03-13 17:43:19.842289,64,0.0016159375508626303,0.013518810272216797,0.013518810272216797,618.8357956445616,26.6,84.2,0
2026-03-13 17:43:21.091920,1024,0.008262062072753906,0.015957117080688477,0.015957117080688477,121.03515940623774,50.3,85.1,0
2026-03-13 17:43:22.114995,64,0.0007387955983479817,0.0014557838439941406,0.0014557838439941406,1353.5543555431252,40.6,84.7,0
2026-03-13 17:43:23.322560,1024,0.006019115447998047,0.00892496109008789,0.00892496109008789,166.1373682959677,40.8,84.8,0
2026-03-13 17:43:24.423687,512,0.002969694137573242,0.004307985305786133,0.004307985305786133,336.7350150130863,29.8,84.4,0
2026-03-13 17:43:25.449765,64,0.0008469899495442708,0.0018868446350097656,0.0018868446350097656,1180.6515538207477,26.4,84.1,0
2026-03-13 17:43:26.513504,256,0.0018368244171142578,0.0029420852661132812,0.0029420852661132812,544.417850003894,38.3,84.4,0
2026-03-13 17:43:27.570314,128,0.0021882057189941406,0.010087966918945312,0.010087966918945312,456.9954238396165,31.4,83.5,0
2026-03-13 17:43:28.636292,256,0.001876386006673177,0.00594782829284668,0.00594782829284668,532.9393826449361,27.5,84.6,0
2026-03-13 17:43:29.680897,128,0.0014240105946858725,0.004316806793212891,0.004316806793212891,702.2419662689332,27.9,84.0,0
2026-03-13 17:43:30.880111,1024,0.005059687296549479,0.009883880615234375,0.009883880615234375,197.64067251388508,39.1,85.4,0
2026-03-13 17:43:31.985215,256,0.003949483235677083,0.016438961029052734,0.016438961029052734,253.19768190598842,35.8,85.5,0
2026-03-13 17:43:33.178015,1024,0.005225642522176107,0.006276130676269531,0.006276130676269531,191.36402763034226,34.1,84.4,0
2026-03-13 17:43:34.376601,1024,0.005304749806722005,0.011961936950683594,0.011961936950683594,188.51030424334672,27.5,84.6,0
2026-03-13 17:43:35.415578,128,0.0012463887532552084,0.0019068717956542969,0.0019068717956542969,802.3178943072842,30.9,85.0,0
2026-03-13 17:43:36.466644,128,0.0016594409942626953,0.004851818084716797,0.004851818084716797,602.6125686043505,34.0,84.8,0
2026-03-13 17:43:37.502584,128,0.0009465376536051432,0.0018870830535888672,0.0018870830535888672,1056.4820070191936,46.3,85.4,0
2026-03-13 17:43:38.640394,512,0.003644704818725586,0.0066640377044677734,0.0066640377044677734,274.3706417217243,29.8,85.2,0
2026-03-13 17:43:39.827188,1024,0.004808870951334635,0.007425069808959961,0.007425069808959961,207.94901965969038,22.9,84.3,0
2026-03-13 17:43:40.932142,512,0.0028217474619547525,0.007012844085693359,0.007012844085693359,354.3903249609923,29.6,83.6,0
2026-03-13 17:43:41.995975,256,0.0019324620564778645,0.00759124755859375,0.00759124755859375,517.4745846356309,26.0,83.7,0
2026-03-13 17:43:43.041677,128,0.0014780044555664062,0.003935813903808594,0.003935813903808594,676.5879468318493,29.7,85.3,0
2026-03-13 17:43:44.149591,512,0.003060754140218099,0.0043048858642578125,0.0043048858642578125,326.71686590571545,50.8,84.7,0
2026-03-13 17:43:45.202529,128,0.002392117182413737,0.0057790279388427734,0.0057790279388427734,418.0397211941608,39.5,84.7,0
2026-03-13 17:43:46.426858,1024,0.006375932693481445,0.010576963424682617,0.010576963424682617,156.83979867327784,34.4,83.8,0
2026-03-13 17:43:47.470766,128,0.0014458815256754556,0.0038938522338867188,0.0038938522338867188,691.6195983158728,31.8,83.8,0
2026-03-13 17:43:48.585868,512,0.0035949865976969402,0.011860132217407227,0.011860132217407227,278.1651538396919,25.9,83.6,0
2026-03-13 17:43:49.693696,512,0.0029432614644368488,0.007303953170776367,0.007303953170776367,339.7591454523853,19.1,83.3,0
2026-03-13 17:43:50.799210,512,0.0031104087829589844,0.007858037948608398,0.007858037948608398,321.50114977770966,17.9,83.0,0
2026-03-13 17:43:51.906628,512,0.0027129491170247394,0.0055501461029052734,0.0055501461029052734,368.6025638021139,12.7,83.2,0
